"ID Comida";"ID  BF";"Fecha Hora";"ID Donantes";"Tipo de comida";"Descripción";"Cantidad (un. o kg)"
"C443";"B001";"03/02/2021 21:40:39";"D002";"Comida Preparada";"ARROZ";"4"
"C436";"B001";"03/02/2021 21:40:02";"D017";"Alimentos frescos";"FRUTA Y VERDURA";"3"
"C442";"B001";"03/02/2021 21:39:22";"D004";"Pan";"PAN";"3"
"C440";"B001";"03/02/2021 21:37:58";"D012";"Alimentos frescos";"FRUTA Y VERDURA";"4"
"C445";"B007";"03/02/2021 21:37:31";"D001";"Comida Preparada";"COCIDO";"3"
"C444";"B007";"03/02/2021 21:37:12";"D002";"Comida Preparada";"SALCHICHAS";"3"
"C436";"B007";"03/02/2021 21:36:28";"D017";"Alimentos frescos";"FRUTA Y VERDURA";"2"
"C442";"B007";"03/02/2021 21:35:40";"D004";"Pan";"PAN";"2"
"C441";"B007";"03/02/2021 21:35:20";"D015";"Comida Preparada";"EMPANADAS";"1"
"C440";"B007";"03/02/2021 21:34:49";"D012";"Alimentos frescos";"FRUTA Y VERDURA";"2"
"C443";"B011";"03/02/2021 21:34:18";"D002";"Comida Preparada";"ARROZ";"2"
"C437";"B011";"03/02/2021 21:33:45";"D006";"Alimentos frescos";"FRUTA Y VERDURA";"3"
"C442";"B011";"03/02/2021 21:32:18";"D004";"Pan";"PAN";"3"
"C440";"B011";"03/02/2021 21:31:53";"D012";"Alimentos frescos";"FRUTA Y VERDURA";"3"
"C444";"B014";"03/02/2021 21:31:26";"D002";"Comida Preparada";"SALCHICHAS";"3"
"C441";"B014";"03/02/2021 21:31:08";"D015";"Comida Preparada";"EMPANADAS";"2"
"C445";"B014";"03/02/2021 21:30:50";"D001";"Comida Preparada";"COCIDO";"3"
"C443";"B014";"03/02/2021 21:30:29";"D002";"Comida Preparada";"ARROZ";"3"
"C440";"B014";"03/02/2021 21:29:41";"D012";"Alimentos frescos";"FRUTA Y VERDURA";"2"
"C442";"B014";"03/02/2021 21:29:06";"D004";"Pan";"PAN";"2"
"C436";"B014";"03/02/2021 21:28:29";"D017";"Alimentos frescos";"FRUTA Y VERDURA";"1"
"C434";"B007";"02/02/2021 21:43:27";"D004";"Pan";"Pan";"2"
"C434";"B010";"02/02/2021 21:42:25";"D004";"Pan";"Pan";"3"
"C434";"B004";"02/02/2021 21:42:04";"D004";"Pan";"Pan";"2"
"C434";"B001";"02/02/2021 21:41:39";"D004";"Pan";"Pan";"4"
"C435";"B010";"02/02/2021 21:40:59";"D012";"Alimentos frescos";"Fruta y verdura";"1"
"C435";"B001";"02/02/2021 21:40:35";"D012";"Alimentos frescos";"Fruta y verdura";"1"
"C429";"B014";"02/02/2021 21:15:10";"D008";"Comida Preparada";"Arroz con Tomate";"2"
"C433";"B014";"02/02/2021 21:14:09";"D006";"Alimentos frescos";"Fruta y verdura ";"1"
"C433";"B012";"02/02/2021 21:13:53";"D006";"Alimentos frescos";"Fruta y verdura ";"1"
"C433";"B011";"02/02/2021 21:13:24";"D006";"Alimentos frescos";"Fruta y verdura ";"1"
"C433";"B010";"02/02/2021 21:13:03";"D006";"Alimentos frescos";"Fruta y verdura ";"1"
"C433";"B004";"02/02/2021 21:12:30";"D006";"Alimentos frescos";"Fruta y verdura ";"1"
"C432";"B004";"02/02/2021 21:10:22";"D014";"Comida Preparada";"Macarrones con chorizo";"2"
"C430";"B004";"02/02/2021 21:08:12";"D008";"Comida Preparada";"Lentejas con chorizo";"2"
"C429";"B001";"02/02/2021 21:07:23";"D008";"Comida Preparada";"Arroz con Tomate";"3"
"C431";"B001";"02/02/2021 21:06:38";"D008";"Comida Preparada";"Spaguettis con bacon y tomate";"4"
"C428";"B012";"02/02/2021 21:06:00";"D013";"Comida Preparada";"Cocido";"4"
"C427";"B011";"02/02/2021 21:03:23";"D001";"Comida Preparada";"Spaguetti carbonara";"2"
"C429";"B011";"02/02/2021 21:01:45";"D008";"Comida Preparada";"Arroz con Tomate";"3"
"C427";"B014";"02/02/2021 20:43:56";"D001";"Comida Preparada";"Spaguetti carbonara";"2"
"C427";"B012";"02/02/2021 20:43:37";"D001";"Comida Preparada";"Spaguetti carbonara";"4"
"C424";"B010";"02/02/2021 20:43:12";"D002";"Comida Preparada";"Pollo con tomate";"2"
"C425";"B010";"02/02/2021 20:42:57";"D001";"Comida Preparada";"Merluza con patata";"2"
"C426";"B010";"02/02/2021 20:42:24";"D001";"Comida Preparada";"Salchichas";"2"
"C427";"B010";"02/02/2021 20:42:01";"D001";"Comida Preparada";"Spaguetti carbonara";"2"
"C425";"B004";"02/02/2021 20:40:49";"D001";"Comida Preparada";"Merluza con patata";"2"
"C427";"B004";"02/02/2021 20:40:20";"D001";"Comida Preparada";"Spaguetti carbonara";"4"
"C424";"B001";"02/02/2021 20:39:55";"D002";"Comida Preparada";"Pollo con tomate";"2"
"C426";"B001";"02/02/2021 20:39:42";"D001";"Comida Preparada";"Salchichas";"2"
"C423";"B001";"02/02/2021 20:39:11";"D002";"Comida Preparada";"Macarranoes condimentados";"3"
"C427";"B007";"02/02/2021 20:38:40";"D001";"Comida Preparada";"Spaguetti carbonara";"2"
